
2025-10-05 16:27:47,21,21,21,0,0,124,13.212,18.576,1012,0,No Rain
2025-10-05 18:49:09,19.86,19.86,19.86,0.13,0,102,10.764000000000001,21.42,1014,0,Rain
2025-10-06 10:22:43,20.31,20.31,20.31,0,0,63,11.628,14.256,1018,0,No Rain
2025-10-06 11:09:38,22.03,22.03,22.03,0,0,82,12.78,14.940000000000001,1017,0,No Rain
2025-10-06 11:17:56,22.03,22.03,22.03,0,0,82,12.78,14.940000000000001,1017,0,No Rain
2025-10-06 11:21:55,22.03,22.03,22.03,0,0,82,12.78,14.940000000000001,1017,0,No Rain
2025-10-06 13:40:42,25.38,25.38,25.38,0,0,92,15.552000000000001,16.92,1012,0,No Rain
2025-10-06 19:31:21,20.68,20.68,20.68,0,0,80,16.2,25.992,1015,0,No Rain
2025-10-06 19:32:49,20.68,20.68,20.68,0,0,80,16.2,25.992,1015,0,No Rain
2025-10-08 17:45:10,20.99,20.99,20.99,0,0,101,20.592,26.856,1015,0,No Rain
2025-10-08 17:50:53,20.99,20.99,20.99,0,0,101,20.592,26.856,1015,0,No Rain
2025-10-08 18:14:53,23.93,23.62,23.93,0,0,70,22.212,0.0,1015,0,No Rain
2025-10-08 18:24:43,20.99,20.99,20.99,0,0,101,20.592,26.856,1015,0,No Rain
2025-10-31 16:29:02,21.93,21.62,21.93,0.42,0,40,27.791999999999998,0.0,1013,0,Rain
2025-10-31 16:35:43,21.93,21.62,21.93,0.38,0,40,27.791999999999998,0.0,1013,0,Rain
2025-10-31 16:36:10,21.93,21.62,21.93,0.38,0,40,27.791999999999998,0.0,1013,0,Rain
2025-11-06 23:24:40,18.88,18.88,18.88,0,0,74,16.632,31.176000000000002,1015,0,No Rain
2025-11-10 12:37:42,24.01,24.01,24.01,0,0,69,14.688,15.696000000000002,1015,0,No Rain
2025-11-10 12:56:15,24.88,24.88,24.88,0,0,77,15.624,15.696000000000002,1014,0,No Rain
2025-11-10 13:16:12,24.88,24.88,24.88,0,0,77,15.624,15.696000000000002,1014,0,No Rain
2025-11-10 16:41:08,24.93,24.62,24.93,0,0,30,27.791999999999998,0.0,1013,0,No Rain
